8:speed,9:speed_n,10:speed_e,11:speed_d,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
4.438,-0.032,1.232,-0.155,1628129825,750123,0,5A6F           ,1,1,0.0,GPS-3.0       ,5,0.086,0.101,0.218,1.416,2.112,0,6,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
6.962,0.046,1.933,-0.25,1628129827,699999,0,5A4F           ,1,1,3.078,GPS-3.0       ,5,0.09,0.105,0.223,0.795,1.747,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
7.764,0.203,2.147,-0.212,1628129829,200001,0,5A4F           ,1,1,3.092,GPS-3.0       ,5,0.093,0.107,0.227,0.88,2.072,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
8.218,0.607,2.2,-0.159,1628129830,549995,0,5A4F           ,1,1,3.066,GPS-3.0       ,5,0.096,0.109,0.231,0.88,2.072,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
9.911,1.481,2.321,-0.239,1628129831,700261,0,5A4F           ,1,1,3.06,GPS-3.0       ,5,0.097,0.109,0.233,0.795,1.748,0,4,9,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
10.393,1.921,2.155,-0.244,1628129832,749995,0,5A4F           ,1,1,3.007,GPS-3.0       ,5,0.098,0.11,0.235,0.795,1.748,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
11.279,2.372,2.047,-0.262,1628129833,800259,0,5A4F           ,1,1,3.113,GPS-3.0       ,5,0.099,0.112,0.239,0.88,2.072,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
10.28,2.266,1.737,-0.339,1628129834,849995,0,5A4F           ,1,1,3.056,GPS-3.0       ,5,0.1,0.114,0.242,0.795,1.748,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
10.507,2.351,1.73,-0.315,1628129835,900253,0,5A4F           ,1,1,3.081,GPS-3.0       ,5,0.101,0.116,0.246,0.828,1.772,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
10.376,2.337,1.687,-0.274,1628129836,949994,0,5A4F           ,1,1,3.017,GPS-3.0       ,5,0.104,0.12,0.251,0.929,2.192,0,4,10,5,0,0,4,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,                 ,                 ,                 ,,
