filename,latitude,longitude,height,roll,pitch,heading,date,time,unix_time_sec,distancetoprevious
003491-20211011-130642-000000001,2.417854,102.736103,20.7506980896,0,0,162.5970928151,2021-10-11,13:06:40,1633928800,0.0
003491-20211011-130642-000000002,2.417848,102.736105,20.8224468231,0,0,162.8640712494,2021-10-11,13:06:43,1633928803,0.735
003491-20211011-130642-000000003,2.417821,102.736113,20.686580658,0,0,163.4222069876,2021-10-11,13:06:44,1633928804,3.135
003491-20211011-130642-000000004,2.417794,102.736121,20.6145267487,0,0,161.6754544093,2021-10-11,13:06:45,1633928805,3.164
003491-20211011-130642-000000005,2.417767,102.736130,20.5558071136,0,0,160.0456483299,2021-10-11,13:06:46,1633928806,3.14
003491-20211011-130642-000000006,2.417741,102.736140,20.5492134094,0,0,159.0262016151,2021-10-11,13:06:47,1633928807,3.063
003491-20211011-130642-000000007,2.417714,102.736149,20.5042133331,0,0,159.0482767865,2021-10-11,13:06:47,1633928807,3.169
003491-20211011-130642-000000008,2.417688,102.736158,20.3535327911,0,0,159.8685961662,2021-10-11,13:06:48,1633928808,3.113
003491-20211011-130642-000000009,2.417660,102.736169,20.0665378571,0,0,159.4882229314,2021-10-11,13:06:48,1633928808,3.27
003491-20211011-130642-000000010,2.417633,102.736178,19.954668045,0,0,159.3735167344,2021-10-11,13:06:49,1633928809,3.192
003491-20211011-130642-000000011,2.417605,102.736188,19.8623542786,0,0,159.4542905516,2021-10-11,13:06:49,1633928809,3.259
003491-20211011-130642-000000012,2.417580,102.736197,19.8147544861,0,0,159.658376604,2021-10-11,13:06:50,1633928810,3.041
003491-20211011-130642-000000013,2.417553,102.736207,19.6876010895,0,0,159.5835587118,2021-10-11,13:06:50,1633928810,3.139
003491-20211011-130642-000000014,2.417525,102.736217,19.5484580994,0,0,159.8289264275,2021-10-11,13:06:51,1633928811,3.303
003491-20211011-130642-000000015,2.417498,102.736225,19.4856414795,0,0,159.8258255217,2021-10-11,13:06:51,1633928811,3.118
003491-20211011-130642-000000016,2.417471,102.736234,19.4724903107,0,0,159.6836346435,2021-10-11,13:06:52,1633928812,3.219
003491-20211011-130642-000000017,2.417443,102.736243,19.4239463806,0,0,159.8766967706,2021-10-11,13:06:52,1633928812,3.319
003491-20211011-130642-000000018,2.417417,102.736252,19.4067173004,0,0,160.090604635,2021-10-11,13:06:53,1633928813,3.015
003491-20211011-130642-000000019,2.417391,102.736261,19.3924789429,0,0,160.2006116618,2021-10-11,13:06:53,1633928813,3.087
003491-20211011-130642-000000020,2.417364,102.736271,19.4117622375,0,0,160.2563186847,2021-10-11,13:06:54,1633928814,3.14
003491-20211011-130642-000000021,2.417337,102.736280,19.3582420349,0,0,160.291138989,2021-10-11,13:06:54,1633928814,3.176
003491-20211011-130642-000000022,2.417310,102.736289,19.2992801666,0,0,160.2857431396,2021-10-11,13:06:54,1633928814,3.132
003491-20211011-130642-000000023,2.417284,102.736298,19.2318725586,0,0,160.2612637416,2021-10-11,13:06:55,1633928815,3.037
003491-20211011-130642-000000024,2.417257,102.736307,19.1764125824,0,0,160.2431227592,2021-10-11,13:06:55,1633928815,3.234
003491-20211011-130642-000000025,2.417230,102.736317,19.1563167572,0,0,159.9381684731,2021-10-11,13:06:56,1633928816,3.204
003491-20211011-130642-000000026,2.417203,102.736327,19.1974391937,0,0,159.3048733333,2021-10-11,13:06:56,1633928816,3.225
003491-20211011-130642-000000027,2.417176,102.736337,19.2857246399,0,0,158.8385216771,2021-10-11,13:06:57,1633928817,3.137
003491-20211011-130642-000000028,2.417151,102.736346,19.3642959595,0,0,158.349603076,2021-10-11,13:06:59,1633928819,3.001
003491-20211011-130642-000000029,2.417125,102.736355,19.2091751099,0,0,157.9967828242,2021-10-11,13:07:07,1633928827,3.04
003491-20211011-130642-000000030,2.417099,102.736366,19.3303833008,0,0,157.3037371895,2021-10-11,13:07:08,1633928828,3.151
003491-20211011-130642-000000031,2.417074,102.736377,19.5978431702,0,0,156.7063961654,2021-10-11,13:07:09,1633928829,3.001
003491-20211011-130642-000000032,2.417049,102.736388,19.9023761749,0,0,155.9448983749,2021-10-11,13:07:10,1633928830,3.019
003491-20211011-130642-000000033,2.417024,102.736399,20.210943222,0,0,155.4147800726,2021-10-11,13:07:12,1633928832,3.027
003491-20211011-130642-000000034,2.417000,102.736410,20.5201797485,0,0,154.124939829,2021-10-11,13:07:16,1633928836,3.027
003491-20211011-130642-000000035,2.416975,102.736423,20.8759918213,0,0,150.4826731522,2021-10-11,13:07:17,1633928837,3.076
003491-20211011-130642-000000036,2.416952,102.736438,21.181230545,0,0,146.4279176911,2021-10-11,13:07:18,1633928838,3.037
003491-20211011-130642-000000037,2.416930,102.736454,21.4529266357,0,0,143.0734205444,2021-10-11,13:07:18,1633928838,3.03
003491-20211011-130642-000000038,2.416909,102.736471,21.6853504181,0,0,141.40768767,2021-10-11,13:07:19,1633928839,3.03
003491-20211011-130642-000000039,2.416886,102.736488,21.9475402832,0,0,141.8875221195,2021-10-11,13:07:20,1633928840,3.105
003491-20211011-130642-000000040,2.416863,102.736504,22.1297893524,0,0,143.7815335764,2021-10-11,13:07:21,1633928841,3.208
003491-20211011-130642-000000041,2.416840,102.736520,22.2740802765,0,0,143.909408378,2021-10-11,13:07:21,1633928841,3.108
003491-20211011-130642-000000042,2.416817,102.736536,22.301776886,0,0,144.0737837106,2021-10-11,13:07:22,1633928842,3.021
003491-20211011-130642-000000043,2.416795,102.736552,22.3917274475,0,0,144.3428521827,2021-10-11,13:07:22,1633928842,3.059
003491-20211011-130642-000000044,2.416773,102.736568,22.5388126373,0,0,143.5860945435,2021-10-11,13:07:23,1633928843,3.001
003491-20211011-130642-000000045,2.416752,102.736584,22.6580753326,0,0,143.2881890126,2021-10-11,13:07:24,1633928844,3.029
003491-20211011-130642-000000046,2.416729,102.736600,22.7185077667,0,0,143.908793661,2021-10-11,13:07:24,1633928844,3.126
