#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-121033-000000001,220003491       ,2.4343313158,102.8271678843,23.9491367340,0.00000000,0.00000000,206.7575442900,7.486,-1.837,-0.976,-0.091,2021-10-03,04:10:34.300000,1633234234,300000,0000,5A2F,1,1,0.000,GPS-3.0,5,0.178,0.198,0.437,1.003,1.494,0,2,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000002,220003491       ,2.4343096928,102.8271508842,24.1829376221,0.00000000,0.00000000,222.2733161974,9.939,-2.139,-1.746,-0.163,2021-10-03,04:10:35.649995,1633234235,649995,0000,5A2F,1,1,3.057,GPS-3.0,5,0.180,0.199,0.439,0.795,1.161,0,2,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000003,220003491       ,2.4342942910,102.8271278161,24.4956398010,0.00000000,0.00000000,234.9688346945,12.996,-1.992,-3.011,-0.483,2021-10-03,04:10:36.600001,1633234236,600001,0000,5A2F,1,1,3.082,GPS-3.0,5,0.180,0.200,0.441,1.441,2.127,0,2,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000004,220003491       ,2.4342791852,102.8271049505,25.0485229492,0.00000000,0.00000000,238.0603422374,15.194,-2.047,-3.691,-0.735,2021-10-03,04:10:37.400014,1633234237,400014,0000,5A2F,1,1,3.045,GPS-3.0,5,0.181,0.201,0.441,0.708,1.078,0,2,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000005,220003491       ,2.4342651436,102.8270815412,25.3865356445,0.00000000,0.00000000,237.1238959814,13.577,-1.929,-3.241,-0.390,2021-10-03,04:10:38.149995,1633234238,149995,0000,5A2F,1,1,3.033,GPS-3.0,5,0.182,0.202,0.442,0.708,1.078,0,2,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000006,220003491       ,2.4342490061,102.8270585208,25.4972801208,0.00000000,0.00000000,232.0016912360,11.673,-2.116,-2.457,-0.196,2021-10-03,04:10:39.000010,1633234239,000010,0000,5A2F,1,1,3.124,GPS-3.0,5,0.182,0.202,0.443,0.708,1.078,0,2,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000007,220003491       ,2.4342292232,102.8270384019,25.6822433472,0.00000000,0.00000000,223.9544852993,13.664,-2.660,-2.707,-0.208,2021-10-03,04:10:39.900251,1633234239,900251,0000,5A2F,1,1,3.136,GPS-3.0,5,0.183,0.203,0.444,0.708,1.078,0,2,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000008,220003491       ,2.4342067117,102.8270213325,25.8207683563,0.00000000,0.00000000,218.2836797597,14.794,-3.303,-2.445,-0.048,2021-10-03,04:10:40.699998,1633234240,699998,0000,5A2F,1,1,3.140,GPS-3.0,5,0.183,0.204,0.445,0.876,1.169,0,2,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000009,220003491       ,2.4341848078,102.8270053320,25.9765548706,0.00000000,0.00000000,215.5949621326,16.852,-3.664,-2.914,-0.382,2021-10-03,04:10:41.400001,1633234241,400001,0000,5A2F,1,1,3.015,GPS-3.0,5,0.184,0.204,0.445,0.897,1.161,0,2,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121033-000000010,220003491       ,2.4341612224,102.8269891145,26.1074390411,0.00000000,0.00000000,212.3133704251,16.909,-3.938,-2.560,-0.168,2021-10-03,04:10:42.100020,1633234242,100020,0000,5A2F,1,1,3.182,GPS-3.0,5,0.184,0.205,0.446,0.829,1.333,0,2,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
